"x,","y,","z,",Atraktivita geoturizmu,Číslo
18.913842,48.461640 ,0,Scharfenberg,1
18.85919,48.48049 ,0,Prameň Banky ,2
18.88519,48.48307 ,0,Propylitizovaný andezitový porfýr ,3
18.89107,48.4846 ,0,Ložná intrúzia kremito-dioritového porfýru ,4
18.8997,48.48278 ,0,Odkryv pyroxenického andezitu,5
18.90017,48.48034 ,0,"Odkryv spodnej stratovulkanickej stavby, intrúzie, hydrotermálne premeny",6
18.89515,48.4782 ,0,Intruzívne teleso dioritu ,7
18.89837,48.4784 ,0,"Mezozoikum, vápence, dolomity",8
18.9019,48.47828 ,0,"Sedimenty paleogénu, pieskovce, zlepence, brekcie",9
18.902525,48.477989 ,0,"Kremito – dioritový porfýr, dajka ",10
18.907341,48.476634 ,0,Opustený lom v doline Jergištolne,11
18.903459,48.470669 ,0,Geoclub – kremencový lom Šobov ,12
18.903459,48.467878 ,0,Prameň pod Červenou studňou,13
18.882758,48.466344 ,0,Studnička pod Paradajsom ,14
18.880454,48.464406 ,0,Paradajs,15
18.89328,48.46539 ,0,Východ žily Bieber v Starom meste ,16
18.876979,48.460708 ,0,Prameň nad Ottergrundom,17
18.88408,48.46103 ,0,Podparadajský prameň ,18
18.88288,48.46041 ,0,Východ žily Terézia ,19
18.890134,18.890134,0,Občianska strelnica ,20
18.89607,48.4628 ,0,Východ žily Špitaler ,21
18.895196,48.461553 ,0,Povrchové dobývanie žily Špitaler ,22
18.894466,48.460863 ,0,Povrchové dobývky na vrchu Glanzenberg ,23
18.880313,48.458445 ,0,Prameň pod Rosniarkami ,24
18.87879,18.87879,0,Východ žily terézia pod Paradajzom ,25
18.87838,48.45637 ,0,Východ žily Bieber ,26
18.88572,48.45614 ,0,Východ žily Bieber na Hornej Resle ,27
18.88601,48.45315 ,0,Východ žily Špitaler nad Klingerom ,28
18.874827,48.451242 ,0,Východ žily Terézia na Hornej rovni ,29
18.870270,48.451328 ,0,Kamenná súť na úpätí Tanádu,30
18.869197,48.451470 ,0,Tanád,31
18.872416,48.450182 ,0,Prameň pod Tanádom ,32
18.90103,48.45221 ,0,Východ žily Gruner ,33
18.874817,48.449442 ,0,Kalvária Horná Roveň ,34
18.870550,48.448162 ,0,Východ žily Terézia a Bieber ,35
18.869039,48.444919 ,0,Východ žily Bieber a Wolf ,36
18.875487,48.444676 ,0,Východ žily Špitaler na Hornej Rovni ,37
18.888105,48.444757 ,0,Východ žily Ján ,38
18.910802,48.445553 ,0,Minerálny prameň v šachte František ,39
18.9277,48.45368 ,0,Kysihýbelský akvadukt ,40
18.941008,48.456791 ,0,Séčiho jazierko ,41
18.82717,48.44269 ,0,Ostrý vrch ,42
18.861858,48.440481 ,0,Pyroxenický andezitový porfýr – ložná intrúzia ,43
18.853723,48.441763 ,0,Lakolit andezitového porfýru typu myšia Hora,44
18.857849,48.440018 ,0,Kalvária – Štiavnické Bane ,45
18.844542 ,48.422641 ,0,Intrúzia pyroxenického andezitového porfýru ,46
18.902927,48.429082 ,0,Strieborná,47
18.868028,48.418323 ,0,Úlomkové prúdy,48
18.873735,48.418309 ,0,Pyroklastický blokovo-popolový prúd,49
18.880258,48.416657 ,0,Redeponované pemzové tufy,50
18.884614,48.413794 ,0,Pyroklastický popolovo-pemzový prúd ,51
18.882919,48.413160 ,0,Lahar s tufovo-pemzovým matrixom ,52
18.880934,48.410739 ,0,Extruzívna brekcia pri okraji extruzívneho dómu ,53
18.885591,48.408674 ,0,"Bielokamenské súvrstvie, popolovo-pemzový prúd ",54
18.866107,48.407539 ,0,Studnička pod Sitnom ,55
18.870350,48.407620 ,0,Andezitová dajka ,56
18.86777,48.4063 ,0,Prameň pod Tatárskou lúkou ,57
18.869406,48.405932 ,0,Vulkanický nek Petrov vrch ,58
18.868566,48.405407 ,0,Prameň pod Sitnom ,59
18.84743,48.4044 ,0,Petrov vrch ,60
18.879314,48.405804 ,0,Uloženiny úlomkových lavín,61
18.8757,48.40385 ,0,Skalné útvary pod Sitnom ,62
18.875264,48.403090 ,0,Skalné bralá na SZ okraji Sitna ,63
18.876888,48.402482 ,0,Sitno,64
18.876377,48.402047 ,0,Vrch Sitno ,65
18.882275,48.404386 ,0,"Prameň, Bielokamenské súvrstvie ",66
18.886181,48.401644 ,0,"Epiklastické vulkanické brekcie, skalné bralá sitnianskeho andezitu, dolný hrad ",67
18.888294,48.402207 ,0,Lávový prúd Sitnianskeho komplexu ,68
18.893439,48.401827 ,0,Lávový prúd typu Sitno – skalné bralá Sitience ,69
18.870393,48.394846 ,0,Skalné bralá amfibolicko – biotitického andezitu ,70
18.867067,48.389674 ,0,Extruzívne telesá A-B andezitu ,71
18.869170,48.386696 ,0,Skalné bralá A-B andezitu ,72
18.872475,48.387736 ,0,Vnútorná stavba extruzívneho dómu ,73
18.883439,48.388477 ,0,Autometamorfóza A-B andezitu ,74
18.886250,48.386204 ,0,Autoklastická brekcia na okraji extruzívneho telesa ,75
18.909521,48.389068 ,0,Extruzívna brekcia ,76
