"x,","y,","z,",Info,Číslo
19.035518,48.435037,0,Holý vrch,1
19.091272,48.401609,0,Mäsiarsky bok,2
18.8049067,48.5332569,0,PR Bralce,3
18.878858,48.4670822,0,Národná prírodná rezerváciaKašivárová,4
18.878858,48.401704,0,Sitno,5
18.796057,48.369277,0,Jabloňovský Roháč,6
18.5737392,48.6082306 ,0,Buchlov,7
18.625946,48.586345 ,0,Ostrovica,8
18.844986,48.544001 ,0,Kapitulské bralá ,9
18.934802,48.5122197 ,0,Žakýlske pleso ,10
18.5451158,48.5092194 ,0,Jazvinská jaskyňa,11
18.575178,48.492491 ,0,Andezitové kamenné more ,12
18.574405,48.427592 ,0,Starohutský vodopád,13
18.736821,48.410536 ,0,Rudniansky vodopád ,14
18.6429575,48.3843994 ,0,Putikov vŕšok ,15
18.9895,48.3765 ,0,PP Štangarígeľ ,16
19.014765,48.377804 ,0,Sixova stráň PP ,17
18.947762,48.211319 ,0,Tesárska roklina ,18
18.878969,48.165453 ,0,Dudinské travertíny,19
