"x,","y,","z,",Šachty,Číslo
18.878646,48.453527 ,0,Šachta Weiden ,1
18.918893,48.479821 ,0,Šachta Mikuláš ,2
18.899568,48.476867 ,0,Šachta Ferdinand ,3
18.878076,48.471251 ,0,Šachta Ján Jozef ,4
18.896682,48.462990 ,0,Šachta Michal ,5
18.893359,48.458527 ,0,Šachta Kaufhaus ,6
18.894820,48.453007 ,0,Šachta Zigmund ,7
18.891165,48.455193 ,0,Šachta Alžbeta ,8
18.84638,48.46513 ,0,Šachta VDŠ a HDŠ Zipser ,9
18.81911,48.46478 ,0,Šachta Lethaus ,10
18.82600,48.46387 ,0,Šachta Lill ,11
18.80775,48.45554 ,0,Šachta VDŠ Leopold ,12
18.78592,48.45371 ,0,Šachta Délius ,13
18.77936,48.45382 ,0,Šachta Mayer II. ,14
18.77905,48.45391 ,0,Šachta VDŠ Mayer ,15
18.77173,48.45735 ,0,Šachta Colloredo ,16
18.76291,48.45944 ,0,Šachta Kyslá ,17
18.76048,48.45941 ,0,Šachta Štampfer ,18
18.73371,48.46044 ,0,Šachta Hámorská ,19
18.81158,48.43151 ,0,Šachta Móder ,20
18.856571,48.436487 ,0,Šachta Konigsegg ,21
18.910802,48.445553 ,0,Šachta František,22
18.887642,48.451164 ,0,Šachta Ondrej ,23
18.878646,48.45327 ,0,Šachta Weiden ,24
18.878355,48.450446 ,0,Šachta Amália ,25
18.873881,48.451642 ,0,Ústie šachty Terézia ,26
18.873591,48.448923 ,0,Šachta Roveň ,27
18.872115,48.447947 ,0,Šachta Eisenseil Baptista ,28
18.870937,48.447513 ,0,Šachta Abrahám ,29
18.870819,48.444029 ,0,Šachta Cigeiner ,30
18.873975,48.441522 ,0,Šachty Wind ,31
18.873182,48.441816 ,0,Šachta Wolf ,32
18.868057,48.440908 ,0,Šachta Kristína ,33
18.865444,48.439289 ,0,Šachta Piarg ( Siglisberg ) ,34
18.873718,48.440080 ,0,Šachta Špitaler ,35
18.871485,48.438563 ,0,Šachta Leopold ,36
18.872330,48.437279 ,0,Šachta Magdaléna ( správna budova ) ,37
18.871079,48.434221 ,0,Šachta Mária Mutter Gottes ,38
18.884714,48.443380 ,0,Šachta Maximilián ,39
18.885766,48.437709 ,0,Šachta Ján ( Ján Baptista ) ,40
18.896308,48.438943 ,0,Šachta Štefan ,41
18.896733,48.437541 ,0,Šachta Albert ,42
18.899276,48.437214 ,0,Šachta Ignác ,43
18.905342,48.443012 ,0,Šachta Mária ,44
18.73371,48.46044 ,0,Šachta Hámorská ,45
