"x,","y,","z,",Tajchy,Číslo,Foto
18.85132 ,48.43442,0,Tajch Bakomi,1,C:\Users\Erika\Desktop\QGISSS\Obrazky\tajchbakomi.jpg
18.88686 ,48.46751,0,Tajch Malá Vodárenská ,2,C:\Users\Erika\Desktop\QGISSS\Obrazky\tajchmalavodarenska.jpg
18.88872 ,48.46678,0,Tajch Veľká Vodárenská ,3,C:\Users\Erika\Desktop\QGISSS\Obrazky\tajchvelkavodarenska.jpg
18.88351 ,48.46853,0,Tajch Červená studňa ,4,C:\Users\Erika\Desktop\QGISSS\Obrazky\tajchcervenastudna.jpg
18.85662 ,48.43411,0,Tajch Veľká Windšachta ,5,
18.86243 ,48.43467,0,Tajch Evička ,6,C:\Users\Erika\Desktop\QGISSS\Obrazky\tajchevicka.jpg
18.88321 ,48.45138,0,Tajch Klinger ,7,C:\Users\Erika\Desktop\QGISSS\Obrazky\tajchklinger.jpg
18.88018 ,48.46134,0,Tajch Ottergrund ,8,C:\Users\Erika\Desktop\QGISSS\Obrazky\tajchottergrund.jpg
18.875589,48.476824 ,0,Tajch Rozgrund ,9,C:\Users\Erika\Desktop\QGISSS\Obrazky\tajchrozgrund.jpg
18.85901,48.47910 ,0,Bančiansky tajch ,10,C:\Users\Erika\Desktop\QGISSS\Obrazky\tajchbanciansky.jpg
18.894644,48.476903 ,0,Gerambovský tajch ,11,
18.873518,48.468782 ,0,Teplopotocký tajch ,12,C:\Users\Erika\Desktop\QGISSS\Obrazky\teplopotocky.jpg
18.91303,48.44558 ,0,Tajch Rybník ,13,
18.90846,48.43814 ,0,Veľký Komorovský tajch ,14,
18.908146,48.437327 ,0,Malý Komorovský tajch ,15,
18.951534,48.428314 ,0,Antolský tajch ,16,
18.85039,48.46444 ,0,Dolný Hodrušský tajch ,17,C:\Users\Erika\Desktop\QGISSS\Obrazky\dolnyhodrussky.jpg
18.85383,48.45861 ,0,Horný Hodrušský tajch ,18,C:\Users\Erika\Desktop\QGISSS\Obrazky\hornyhodrussky.jpg
18.87684,48.43551 ,0,Tajch Spodná Vindšachta ,19,
18.85655,48.43430 ,0,Tajch Veľká Vindšachta ,20,
18.871907,48.436822,0,Tajch pri šachte Magdaléna ,21,
18.854880,48.437854,0,Tajch Krechsengrund,22,C:\Users\Erika\Desktop\QGISSS\Obrazky\krechsengrund.jpg
18.81844,48.43375,0,Tajch Henrik ,23,
18.85450,48.40770,0,Tajch Počúvadlo ,24,C:\Users\Erika\Desktop\QGISSS\Obrazky\pocuvadlo.jpg
18.847045,48.427277,0,Veľký Richňavský tajch ,25,C:\Users\Erika\Desktop\QGISSS\Obrazky\velkyrichnavsky.jpg
18.844630,48.429130 ,0,Malý Richňavský tajch ,26,C:\Users\Erika\Desktop\QGISSS\Obrazky\malyrichnavsky.jpg
