"x,","y,","z,",Info,Číslo,Foto
18.942499,48.544645 ,0,Vyhliadka nad Močiarom ,1,C:\Users\Erika\Desktop\QGISSS\glanzenberg.jpg
18.942472,48.537018 ,0,Vyhliadka na Močiar ,2,
18.965147,48.521261 ,0,Vyhliadka nad Kozelníkom ,3,
18.930339,48.504404 ,0,Vyhliadka pri Podhorí ,4,
18.934558,48.508412 ,0,Žakýlsky hrad – vyhliadka ,5,
18.915701,48.494111 ,0,Vyhliadka zo Širokého vrchu ,6,
18.889896,48.470514 ,0,Vyhliadka na kalváriu a Novú Šachtu ,7,
18.882073,48.469084 ,0,Posedenie pri Červenej Studni ,8,
18.879446,48.467455 ,0,Pasienky pod Paradajsom ,9,
18.907493,48.465575 ,0,Vyhliadka z pod kalvárie ,10,
18.897204,48.464110 ,0,Vyhliadka na kalváriu ,11,
18.884561,48.463683 ,0,Vyhliadka nad Veľkou Vodárenskou ,12,
18.879696,48.461195 ,0,Vyhliadka nad Ottergrundom ,13,
18.894176,48.460680 ,0,Vyhliadka na časť Reslu ,14,
18.913513,48.461678 ,0,Vyhliadka z Kalvárie ,15,
18.897565,48.456733 ,0,Vyhliadka na historickú Štiavnicu ,16,
18.886174,48.455845 ,0,Vyhliadka nad Banskou Štiavnicou ,17,
18.884305,48.451529 ,0,Vyhliadka na banské múzeum v prírode ,18,
18.896996,48.451333 ,0,Vyhliadka nad Zigmund šachtou ,19,
18.902790,48.450698 ,0,Vyhliadka Banská Štiavnica,20,
18.874793,48.450250 ,0,Nízke Tatry z Hornej Rovni ,21,
18.865074,48.446019 ,0,Panoramatický výhľad na južnú časť Štiavnických vrchov ,22,
18.864405,48.447558 ,0,Vyhliadka na Sitno ,23,
18.865518,48.444894 ,0,Farárova hôrka ,24,
18.85185,48.4438 ,0,Kanderka,25,
18.853895,48.441732 ,0,Odlesnenie krajiny ,26,
18.82717,48.44269 ,0,Jasenický vrch ,27,
18.839743,48.435158 ,0,Vyhliadka nad Bakomi ,28,
18.848569,48.436060 ,0,Vyhliadka nad tajchom Bakomi ,29,
18.875332,48.430542 ,0,Rozhliadka Pažite ,30,
18.83469,48.42814 ,0,Šípová,31,
18.82358,48.41917 ,0,Haviarsky vrch ,32,
18.855273,48.420420 ,0,Holá,33,
18.851385,48.409795 ,0,Vyhliadka s posedením ,34,
18.852580,48.408035 ,0,Vyhliadka na Počúvadlo a Sitno ,35,
18.859577,48.407188 ,0,Vyhliadka na tajch Počúvadlo ,36,
18.87598,48.40335 ,0,Sitno – skalná vyhliadka ,37,
18.876741,48.402034 ,0,Vyhliadka z Tatárskej lúky ,38,
18.875143,48.403531 ,0,Vyhliadka zo Sitna ,39,
18.811562,48.385479 ,0,Vyhliadka nad Dekýšom ,40,
18.807570,48.387570 ,0,Potok Jabloňovka ,41,
18.826357,48.371030 ,0,Lúky nad Počúvadlom ,42,
18.743963,48.291474 ,0,Náučný chodník Mesta kráľovien ,43,
